tip_x,tip_y,tip_position,crack_length,crack_area,ctod_10px,ctod_20px,ctod_30px,ctod_40px,ctod_50px,ctod,crack_width,tip_radius,frame
214.2,89.46,"(89.46, np.float64(214.2))",81.9,646.5501,6.3,7.5600000000000005,9.45,9.45,9.45,7.5600000000000005,11.34,15.746593795785891,68
213.57,90.72,"(90.72, np.float64(213.57))",78.75,614.0043000000001,6.93,6.3,8.82,10.08,10.08,6.3,12.6,16.139080278936195,69
212.94,90.09,"(90.09, np.float64(212.94))",79.38,701.7192,9.45,7.5600000000000005,11.34,11.34,10.08,7.5600000000000005,13.86,14.809773852647949,70
212.31,90.72,"(90.72, np.float64(212.31))",80.64,669.9672,8.82,7.5600000000000005,9.45,9.45,9.45,7.5600000000000005,11.97,20.05960375401124,71
212.94,90.09,"(90.09, np.float64(212.94))",81.9,673.5393,8.82,8.82,8.82,9.45,9.45,8.82,12.6,23.494050215331324,72
212.31,89.46,"(89.46, np.float64(212.31))",83.16,665.6013,9.45,7.5600000000000005,8.19,8.82,8.82,7.5600000000000005,12.6,23.588095374276957,73
212.31,89.46,"(89.46, np.float64(212.31))",83.16,637.4214000000001,8.82,7.5600000000000005,9.45,9.45,8.82,7.5600000000000005,11.97,25.677520925250164,74
212.94,90.09,"(90.09, np.float64(212.94))",81.27,723.1518000000001,8.82,7.5600000000000005,10.08,10.08,10.71,7.5600000000000005,15.120000000000001,14.89409195794599,75
211.68,89.46,"(89.46, np.float64(211.68))",81.27,656.4726,10.08,8.19,8.82,9.45,8.19,8.19,13.23,16.439213625872473,76
213.57,90.09,"(90.09, np.float64(213.57))",81.27,660.0447,8.19,6.93,8.82,9.45,8.82,6.93,11.97,22.81865072347241,77
213.57,90.09,"(90.09, np.float64(213.57))",81.27,671.9517000000001,6.93,6.3,7.5600000000000005,9.45,10.71,6.3,13.23,16.970228224331958,78
212.94,88.83,"(88.83, np.float64(212.94))",80.64,708.0696,8.82,8.19,10.08,10.71,11.34,8.19,14.49,14.729975544052557,79
212.31,88.2,"(88.2, np.float64(212.31))",80.64,654.4881,8.82,8.82,9.45,9.45,9.45,8.82,12.6,25.960846800283907,80
212.31,89.46,"(89.46, np.float64(212.31))",81.9,706.4820000000001,8.82,8.19,9.45,10.71,10.71,8.19,13.86,15.124942232750536,81
212.94,89.46,"(89.46, np.float64(212.94))",81.9,652.5036,7.5600000000000005,6.93,9.45,9.45,8.82,6.93,11.97,15.738832237538865,82
213.57,89.46,"(89.46, np.float64(213.57))",82.53,644.1687000000001,6.93,6.93,8.19,8.82,9.45,6.93,12.6,15.707561421627155,83
212.94,90.09,"(90.09, np.float64(212.94))",78.75,650.1222,9.45,8.82,10.08,9.45,9.45,8.82,12.6,23.916946992222368,84
212.94,89.46,"(89.46, np.float64(212.94))",80.01,664.4106,8.19,6.93,9.45,10.71,10.08,6.93,13.86,15.041026455367605,85
212.94,88.2,"(88.2, np.float64(212.94))",80.01,640.5966000000001,7.5600000000000005,6.93,9.45,8.82,8.82,6.93,11.97,14.436744471746595,86
